num_map,Name,Threads,OperationsPerMilliSecond,LogOperationsPerMilliSecond
0,SpOrHaMa_1.0,1,127779.52409794045,11.758061589763269
0,SpOrHaMa_1.0,2,288155.3733773251,12.571255104538679
0,SpOrHaMa_1.0,3,98667.59282647133,11.49951183134881
0,SpOrHaMa_1.0,4,213440.33808949552,12.27111262571065
0,SpOrHaMa_1.0,5,206712.36387990837,12.239083559458669
0,SpOrHaMa_1.0,6,151688.67416514346,11.929585503123915
0,SpOrHaMa_1.0,7,39819.807407519496,10.592119741029883
0,SpOrHaMa_1.0,8,26941.25190609357,10.201413919044025
0,SpOrHaMa_1.0,9,17540.733090382488,9.772281060399552
0,SpOrHaMa_1.0,10,31467.707366684695,10.356717136012373
0,SpOrHaMa_1.0,11,66553.17132516681,11.105756475958602
1,SpOrHaMa_2.0,1,967071.2247957062,13.782027427147726
1,SpOrHaMa_2.0,2,374286.5163282493,12.832776869541405
1,SpOrHaMa_2.0,3,424745.6835219912,12.959245877085817
1,SpOrHaMa_2.0,4,365367.5414783501,12.808659088871904
1,SpOrHaMa_2.0,5,253798.08839279824,12.444294302290789
1,SpOrHaMa_2.0,6,239971.01150181057,12.388273409619861
1,SpOrHaMa_2.0,7,213893.22022659847,12.273232198572837
1,SpOrHaMa_2.0,8,171951.89473792812,12.054970034921121
1,SpOrHaMa_2.0,9,156921.08281823987,11.963498300747297
1,SpOrHaMa_2.0,10,57944.511177206485,10.967241127754075
1,SpOrHaMa_2.0,11,35349.77899318173,10.473047419344262
2,SpOrHaMa_4.0,1,846933.6766237837,13.649377666700259
2,SpOrHaMa_4.0,2,492458.00564356876,13.107164468229987
2,SpOrHaMa_4.0,3,291436.43188547716,12.582577188557392
2,SpOrHaMa_4.0,4,205275.58246946524,12.232108660081016
2,SpOrHaMa_4.0,5,259661.3496677633,12.467133559727753
2,SpOrHaMa_4.0,6,196800.41879129116,12.189945391602555
2,SpOrHaMa_4.0,7,181227.70899179403,12.107509580280801
2,SpOrHaMa_4.0,8,171076.44722120528,12.04986579535648
2,SpOrHaMa_4.0,9,106957.01932178554,11.58018234416413
2,SpOrHaMa_4.0,10,154100.7757433051,11.945362055320878
2,SpOrHaMa_4.0,11,44237.432919462655,10.697326608279868
3,SpOrHaMa_8.0,1,1072662.132881385,13.885654091208622
3,SpOrHaMa_8.0,2,661655.7272919755,13.40250065023866
3,SpOrHaMa_8.0,3,352988.93379692547,12.774191986406835
3,SpOrHaMa_8.0,4,244731.54173529346,12.40791714073689
3,SpOrHaMa_8.0,5,111595.55983586525,11.622636541720869
3,SpOrHaMa_8.0,6,216764.10213057438,12.28656495425912
3,SpOrHaMa_8.0,7,189312.19094784826,12.151152735270925
3,SpOrHaMa_8.0,8,158856.48746066316,11.975756479031576
3,SpOrHaMa_8.0,9,63851.33366280622,11.064312748678821
3,SpOrHaMa_8.0,10,45697.30198559347,10.729794537625148
3,SpOrHaMa_8.0,11,20279.19585687917,9.917350804891303
4,SpOrHaMa_16.0,1,1092263.4976461723,13.903762704390036
4,SpOrHaMa_16.0,2,529837.8166443252,13.180326232367351
4,SpOrHaMa_16.0,3,308668.6503771931,12.640023651647525
4,SpOrHaMa_16.0,4,257165.9286004516,12.457476792121362
4,SpOrHaMa_16.0,5,296404.31920373946,12.599479744510242
4,SpOrHaMa_16.0,6,234761.6230479571,12.36632590829617
4,SpOrHaMa_16.0,7,150510.83376981475,11.921790345761751
4,SpOrHaMa_16.0,8,148519.77763618893,11.908473411092137
4,SpOrHaMa_16.0,9,202255.55393751114,12.217287295297771
4,SpOrHaMa_16.0,10,157537.62392303342,11.967419590771057
4,SpOrHaMa_16.0,11,70965.21923640005,11.16994516608813
5,ReFiHaSet_1,1,188283.84919969953,12.145705939324053
5,ReFiHaSet_1,2,410880.1051853069,12.926056736043712
5,ReFiHaSet_1,3,509551.54368640156,13.141286291761428
5,ReFiHaSet_1,4,409985.6095051064,12.923877339296482
5,ReFiHaSet_1,5,289929.86596542294,12.577394331215745
5,ReFiHaSet_1,6,261518.58612591596,12.474260635012707
5,ReFiHaSet_1,7,245290.42386185244,12.410198191008622
5,ReFiHaSet_1,8,180755.01369219227,12.104897877905703
5,ReFiHaSet_1,9,46409.333102524244,10.745255862438468
5,ReFiHaSet_1,10,93725.54349099532,11.448126040370926
5,ReFiHaSet_1,11,25654.30009681933,10.152466481648215
6,ReFiHaSet_2,1,1380700.567467933,14.138101585904328
6,ReFiHaSet_2,2,774335.4266201033,13.559760426421423
6,ReFiHaSet_2,3,382697.48146787443,12.855000090435448
6,ReFiHaSet_2,4,425343.6776915748,12.960652774514498
6,ReFiHaSet_2,5,355617.5120287624,12.781611027834412
6,ReFiHaSet_2,6,219254.49088010943,12.297988392944198
6,ReFiHaSet_2,7,223151.02638314586,12.315604069567994
6,ReFiHaSet_2,8,38769.893316884554,10.56539927896876
6,ReFiHaSet_2,9,161003.8914640567,11.9891838142587
6,ReFiHaSet_2,10,61641.86814311269,11.0290965962933
6,ReFiHaSet_2,11,189129.5878109763,12.150187708884875
7,ReFiHaSet_4,1,1819372.6802998327,14.414002318482838
7,ReFiHaSet_4,2,985105.2092363464,13.800503725857752
7,ReFiHaSet_4,3,557917.4059072295,13.231966212320287
7,ReFiHaSet_4,4,467783.73422399355,13.055761361736748
7,ReFiHaSet_4,5,317910.4382713302,12.669524981437942
7,ReFiHaSet_4,6,401687.08576019283,12.903428670864173
7,ReFiHaSet_4,7,305662.7073157312,12.630237509321052
7,ReFiHaSet_4,8,271646.85908319184,12.512258189546515
7,ReFiHaSet_4,9,232915.09546025188,12.358429268972756
7,ReFiHaSet_4,10,152733.31541262433,11.936448643000096
7,ReFiHaSet_4,11,166349.21691106138,12.021844573957702
8,ReFiHaSet_8,1,1306591.7554060232,14.082932591408694
8,ReFiHaSet_8,2,925720.2103236319,13.738327319293624
8,ReFiHaSet_8,3,543664.4068349489,13.206087436277013
8,ReFiHaSet_8,4,429553.264604811,12.970501028095082
8,ReFiHaSet_8,5,395245.9813364848,12.887263587623407
8,ReFiHaSet_8,6,275569.3952629621,12.526594764288346
8,ReFiHaSet_8,7,226926.1491540193,12.332379909407651
8,ReFiHaSet_8,8,211339.19306469304,12.26121967180231
8,ReFiHaSet_8,9,175371.83212706744,12.07466375381791
8,ReFiHaSet_8,10,177758.1848756226,12.088179393725591
8,ReFiHaSet_8,11,176794.64241515624,12.082744125644837
9,ReFiHaSet_16,1,1399090.5911157748,14.15133300574399
9,ReFiHaSet_16,2,941344.8051886925,13.755064775668085
9,ReFiHaSet_16,3,522051.45339124626,13.165521431722132
9,ReFiHaSet_16,4,339955.66978066065,12.736570505093685
9,ReFiHaSet_16,5,332970.395602127,12.715808862914841
9,ReFiHaSet_16,6,293346.31879704545,12.589109165432744
9,ReFiHaSet_16,7,285950.39904378186,12.563573644844436
9,ReFiHaSet_16,8,263938.5973247184,12.483471769184941
9,ReFiHaSet_16,9,25616.250129362063,10.150982199764169
9,ReFiHaSet_16,10,182867.8432383701,12.11651900283823
9,ReFiHaSet_16,11,141371.53003579527,11.859146668719646
