num_map,Name,Threads,OperationsPerMilliSecond,LogOperationsPerMilliSecond
0,splitOrderHash_MaxLoad_16,1,555361.1791428556,13.227373954297867
0,splitOrderHash_MaxLoad_16,2,331324.40303625684,12.710853244000504
0,splitOrderHash_MaxLoad_16,3,239191.53261974527,12.38501990168518
0,splitOrderHash_MaxLoad_16,4,164878.55869759127,12.012964474002548
0,splitOrderHash_MaxLoad_16,5,135545.80228204912,11.81706488640634
0,splitOrderHash_MaxLoad_16,6,114265.34240752505,11.646278587771475
0,splitOrderHash_MaxLoad_16,7,105363.64153603332,11.565172898614428
0,splitOrderHash_MaxLoad_16,8,101536.24336206808,11.528171091185794
0,splitOrderHash_MaxLoad_16,9,86405.18154592694,11.3668029245903
0,splitOrderHash_MaxLoad_16,10,28137.12006446777,10.244844982306152
0,splitOrderHash_MaxLoad_16,11,74409.6339641286,11.217340701203407
0,splitOrderHash_MaxLoad_16,12,53398.20859689799,10.885532477511008
0,splitOrderHash_MaxLoad_16,13,61724.20391208005,11.030431416796553
0,splitOrderHash_MaxLoad_16,14,15484.504733535674,9.647595108268801
0,splitOrderHash_MaxLoad_16,15,7312.584848836074,8.89735209473243
0,splitOrderHash_MaxLoad_16,16,55563.272676760665,10.925277698602953
0,splitOrderHash_MaxLoad_16,17,34634.925373858045,10.452617855809027
0,splitOrderHash_MaxLoad_16,18,46150.750503504685,10.739668502063227
0,splitOrderHash_MaxLoad_16,19,15954.126143851016,9.677472767162332
0,splitOrderHash_MaxLoad_16,20,12233.253898738016,9.4119132520623
0,splitOrderHash_MaxLoad_16,21,15081.384428862693,9.621216442975568
0,splitOrderHash_MaxLoad_16,22,5205.108334960797,8.557395794465666
0,splitOrderHash_MaxLoad_16,23,34492.2261420721,10.448489248413708
0,splitOrderHash_MaxLoad_16,24,17519.602683442503,9.771075686347533
0,splitOrderHash_MaxLoad_16,25,18058.146147104908,9.801352172040174
0,splitOrderHash_MaxLoad_16,26,16962.29113058759,9.738747990468939
0,splitOrderHash_MaxLoad_16,27,17217.23955309556,9.753666460433267
0,splitOrderHash_MaxLoad_16,28,6106.835172976716,8.717163943007375
0,splitOrderHash_MaxLoad_16,29,20295.317159995087,9.918145456645105
0,splitOrderHash_MaxLoad_16,30,15079.203516470261,9.621071822956875
0,splitOrderHash_MaxLoad_16,31,6702.74036848047,8.810271731978144
1,Refinable16,1,564687.8123429462,13.244028312893837
1,Refinable16,2,345976.4666807364,12.754126036353117
1,Refinable16,3,246397.6661213065,12.414702038686361
1,Refinable16,4,194076.77677289135,12.176009116315788
1,Refinable16,5,131521.49324242567,11.78692556395446
1,Refinable16,6,123920.03687860297,11.727391772690794
1,Refinable16,7,110708.62375895634,11.61465701773078
1,Refinable16,8,85648.11642662356,11.358002511994087
1,Refinable16,9,77984.32359127169,11.264263105873543
1,Refinable16,10,65770.73767801673,11.093930302258295
1,Refinable16,11,67769.36458766069,11.123865522074114
1,Refinable16,12,60676.77663118896,11.013316311273478
1,Refinable16,13,56846.120394398386,10.948103254007437
1,Refinable16,14,51867.43513458562,10.856446418168076
1,Refinable16,15,48282.42514896335,10.784822904872955
1,Refinable16,16,46865.38527330253,10.755034628064378
1,Refinable16,17,43557.64942016057,10.681840613702944
1,Refinable16,18,41160.512415451165,10.625234639225479
1,Refinable16,19,41343.05391216916,10.629659703564105
1,Refinable16,20,38336.443696798604,10.554156255302098
1,Refinable16,21,36539.49096835132,10.506148899029034
1,Refinable16,22,34066.37355958856,10.436066064120645
1,Refinable16,23,34176.08132266903,10.439281301842698
1,Refinable16,24,31192.702903853486,10.347939465156333
1,Refinable16,25,30906.694235437924,10.338728081345922
1,Refinable16,26,29687.10386270783,10.298468017116024
1,Refinable16,27,28411.649571850645,10.254554536233764
1,Refinable16,28,9061.82475246493,9.111825786314082
1,Refinable16,29,28722.244976622962,10.265427187816938
1,Refinable16,30,25326.8878092318,10.13962186964496
1,Refinable16,31,25455.422972399192,10.144684082674488
2,concHashMap,1,18499.460648224802,9.825496856491416
2,concHashMap,2,269297.8865501864,12.503573430830485
2,concHashMap,3,262069.61617284018,12.476365458031788
2,concHashMap,4,204828.63012660458,12.229928957917066
2,concHashMap,5,162124.2163320693,11.996118087880427
2,concHashMap,6,143910.15401264682,11.876944453364793
2,concHashMap,7,123239.97904920357,11.721888782710618
2,concHashMap,8,110928.81808672193,11.616643996089467
2,concHashMap,9,105185.3207573764,11.56347903302278
2,concHashMap,10,85184.3901308773,11.35257348160527
2,concHashMap,11,91667.68265014938,11.425925171375352
2,concHashMap,12,70363.0734590487,11.161423879805493
2,concHashMap,13,73177.67466230333,11.200645662478063
2,concHashMap,14,57438.3198602181,10.958466952949914
2,concHashMap,15,62636.233808533565,11.0450992044723
2,concHashMap,16,67405.65735682196,11.118484230422718
2,concHashMap,17,72791.75298555374,11.195357944602284
2,concHashMap,18,62321.99280804203,11.040069657055874
2,concHashMap,19,53484.745081008,10.88715175355159
2,concHashMap,20,53008.63775752259,10.878210155812052
2,concHashMap,21,50264.71914336855,10.825058701305132
2,concHashMap,22,51540.36099899651,10.850120488430886
2,concHashMap,23,56779.01720063547,10.946922120976765
2,concHashMap,24,34950.920170350786,10.461700075508531
2,concHashMap,25,45218.872910548926,10.71926982094259
2,concHashMap,26,29358.082588396454,10.287323173661136
2,concHashMap,27,42964.48040475978,10.668129016220451
2,concHashMap,28,46246.00376719947,10.741730334173916
2,concHashMap,29,33965.33769357695,10.433095803974828
2,concHashMap,30,33128.40104447223,10.408146231058678
2,concHashMap,31,26897.714447407976,10.199796597199846
3,concSkipListSet,1,812558.9105210128,13.607943695814281
3,concSkipListSet,2,387538.31785117753,12.867570007663995
3,concSkipListSet,3,267557.0966844325,12.497088268091218
3,concSkipListSet,4,199329.85303409933,12.202716284417082
3,concSkipListSet,5,161051.343168202,11.989478494794122
3,concSkipListSet,6,140242.42305248854,11.851127797344375
3,concSkipListSet,7,116284.207906861,11.663792541727556
3,concSkipListSet,8,4915.484873504667,8.500145679496715
3,concSkipListSet,9,93693.13997567726,11.44778025290682
3,concSkipListSet,10,83076.14343926926,11.327512857067516
3,concSkipListSet,11,80827.80605852904,11.300076319696265
3,concSkipListSet,12,72228.65859824397,11.187592179617342
3,concSkipListSet,13,51813.98158841978,10.855415306661477
3,concSkipListSet,14,68652.17922612518,11.136808154699937
3,concSkipListSet,15,21619.20494509046,9.981337316469398
3,concSkipListSet,16,21569.01653912188,9.979013144422668
3,concSkipListSet,17,30990.73346078789,10.341443518161864
3,concSkipListSet,18,29465.07048486836,10.290960789424874
3,concSkipListSet,19,29531.602210499488,10.293216230309776
3,concSkipListSet,20,21993.784996235765,9.998515192258662
3,concSkipListSet,21,11075.697184679608,9.312508544144597
3,concSkipListSet,22,26652.182094104588,10.190626305945768
3,concSkipListSet,23,20743.195505862233,9.939973544450561
3,concSkipListSet,24,11305.594980677606,9.333053013196924
3,concSkipListSet,25,17331.413012771518,9.760275915033322
3,concSkipListSet,26,21125.101796584284,9.958217270986985
3,concSkipListSet,27,12414.501329344801,9.426620530348995
3,concSkipListSet,28,20230.985251004822,9.91497063144768
3,concSkipListSet,29,9807.172357817823,9.190869270216757
3,concSkipListSet,30,17864.946010346663,9.790595748362076
3,concSkipListSet,31,16066.758022252781,9.684507697386747
